,time
314,61.37435054779053
1861,61.30430579185486
1339,61.407015323638916
918,10.346307754516602
1429,60.33389973640442
1031,61.37073850631714
1109,61.32752203941345
1629,12.239516973495483
713,61.41394233703613
569,59.76977205276489
114,61.44529581069946
1890,61.52216911315918
1818,61.428659439086914
1310,44.48448419570923
689,4.03743314743042
125,61.72263813018799
1360,61.46755361557007
141,17.832149982452393
535,22.227776050567627
218,61.36407709121704
1545,5.9706666469573975
583,19.326841831207275
1002,61.50818061828613
214,16.573911905288696
1585,6.544522762298584
777,11.181803464889526
1668,61.47240877151489
748,48.863648653030396
1691,9.662679672241211
636,12.910828113555908
1465,50.45866918563843
778,61.51043438911438
1120,18.036935806274414
978,18.562143802642822
1509,20.929811239242554
211,5.015904188156128
1802,61.307151556015015
1660,61.3810670375824
615,15.439732313156128
1870,61.69377613067627
1425,25.670252084732056
74,24.88138175010681
1428,61.512378215789795
1394,61.41779327392578
1458,61.83227062225342
1482,9.05685830116272
1053,61.54954266548157
746,9.785929203033447
1850,61.33510661125183
1406,4.751504421234131
462,61.65841889381409
1250,26.04751682281494
647,4.561923503875732
372,45.53058314323425
1009,61.45442223548889
1245,10.370159387588501
194,30.64986824989319
508,17.734272718429565
1017,61.38470387458801
450,0.49553608894348145
949,61.4338960647583
1851,61.42779874801636
1889,61.80003094673157
738,61.554916858673096
1700,61.45196342468262
271,61.445234537124634
1237,61.46517848968506
1271,14.44787049293518
1151,41.09583401679993
762,61.470720052719116
1723,33.00885844230652
1845,61.46658897399902
821,61.406578063964844
31,18.721991062164307
1145,61.75666046142578
40,23.77318263053894
1183,61.36938738822937
1900,10.824510097503662
1806,61.326030015945435
303,61.42595720291138
1816,61.95987677574158
1362,61.32157611846924
803,9.95470142364502
499,61.432366132736206
1391,61.29690718650818
1101,17.53485417366028
249,45.229899883270264
1689,61.50694298744202
1476,61.47468829154968
1005,40.56322526931763
505,39.395756244659424
1219,3.6519477367401123
703,61.59912896156311
1493,15.429703712463379
1481,20.708383321762085
